row_key,scene,pair_id,distance_cm,method,width_lidar_cm,height_cm,depth_cm,gt_volume_cm3,est_volume_cm3,error_pct
L-0deg,L_carboard_box,000,25.0,OpenCV,12.05,24.0,12.57,15360.0,3635.4,-76.33
L-0deg,L_carboard_box,000,25.0,DA-V2,12.05,24.0,7.16,15360.0,2070.8,-86.52
L-0deg,L_carboard_box,000,25.0,DA-V2 GT,12.05,24.0,1.25,15360.0,361.5,-97.65
L-0deg,L_carboard_box,000,25.0,Foundation,12.05,24.0,6.91,15360.0,1998.5,-86.99
L-0deg,L_carboard_box,001,50.0,OpenCV,22.99,24.0,87.30,15360.0,48158.6,213.53
L-0deg,L_carboard_box,001,50.0,DA-V2,22.99,24.0,10.51,15360.0,5797.8,-62.25
L-0deg,L_carboard_box,001,50.0,DA-V2 GT,22.99,24.0,0.11,15360.0,60.7,-99.60
L-0deg,L_carboard_box,001,50.0,Foundation,22.99,24.0,8.46,15360.0,4666.9,-69.62
L-0deg,L_carboard_box,002,75.0,DA-V2,21.80,24.0,1.94,15360.0,1014.9,-93.39
L-0deg,L_carboard_box,002,75.0,DA-V2 GT,21.80,24.0,0.13,15360.0,68.0,-99.56
L-0deg,L_carboard_box,002,75.0,Foundation,21.80,24.0,1.89,15360.0,988.8,-93.56
L-0deg,L_carboard_box,004,100.0,DA-V2,35.68,24.0,2.47,15360.0,2115.3,-86.23
L-0deg,L_carboard_box,004,100.0,DA-V2 GT,35.68,24.0,0.07,15360.0,59.9,-99.61
L-0deg,L_carboard_box,004,100.0,Foundation,35.68,24.0,1.90,15360.0,1627.2,-89.41
L-30deg,L_cardboard_box_30,000,25.0,DA-V2,26.03,24.0,2.19,15360.0,1368.3,-91.09
L-30deg,L_cardboard_box_30,000,25.0,DA-V2 GT,26.03,24.0,0.93,15360.0,581.0,-96.22
L-30deg,L_cardboard_box_30,000,25.0,Foundation,26.03,24.0,0.45,15360.0,281.1,-98.17
L-30deg,L_cardboard_box_30,001,50.0,DA-V2,38.34,24.0,9.35,15360.0,8603.9,-43.98
L-30deg,L_cardboard_box_30,001,50.0,DA-V2 GT,38.34,24.0,6.36,15360.0,5852.5,-61.90
L-30deg,L_cardboard_box_30,001,50.0,Foundation,38.34,24.0,4.74,15360.0,4361.8,-71.60
L-30deg,L_cardboard_box_30,002,75.0,OpenCV,36.89,24.0,59.63,15360.0,52794.7,243.72
L-30deg,L_cardboard_box_30,002,75.0,DA-V2,36.89,24.0,14.22,15360.0,12590.0,-18.03
L-30deg,L_cardboard_box_30,002,75.0,DA-V2 GT,36.89,24.0,9.47,15360.0,8384.5,-45.41
L-30deg,L_cardboard_box_30,002,75.0,Foundation,36.89,24.0,3.22,15360.0,2850.9,-81.44
L-30deg,L_cardboard_box_30,003,100.0,OpenCV,34.51,24.0,106.18,15360.0,87933.5,472.48
L-30deg,L_cardboard_box_30,003,100.0,DA-V2,34.51,24.0,1.46,15360.0,1209.1,-92.13
L-30deg,L_cardboard_box_30,003,100.0,DA-V2 GT,34.51,24.0,0.06,15360.0,49.7,-99.68
L-30deg,L_cardboard_box_30,003,100.0,Foundation,34.51,24.0,1.15,15360.0,952.4,-93.80
M-0deg,M_cardboard_box,002,25.0,OpenCV,10.31,19.0,17.90,4940.0,3505.7,-29.03
M-0deg,M_cardboard_box,002,25.0,DA-V2,10.31,19.0,2.61,4940.0,511.2,-89.65
M-0deg,M_cardboard_box,002,25.0,DA-V2 GT,10.31,19.0,2.55,4940.0,499.4,-89.89
M-0deg,M_cardboard_box,002,25.0,Foundation,10.31,19.0,0.13,4940.0,25.5,-99.48
M-0deg,M_cardboard_box,003,50.0,OpenCV,13.52,19.0,2.52,4940.0,647.4,-86.89
M-0deg,M_cardboard_box,003,50.0,DA-V2,13.52,19.0,0.62,4940.0,159.3,-96.78
M-0deg,M_cardboard_box,003,50.0,DA-V2 GT,13.52,19.0,0.84,4940.0,215.8,-95.63
M-0deg,M_cardboard_box,003,50.0,Foundation,13.52,19.0,0.34,4940.0,87.3,-98.23
M-0deg,M_cardboard_box,004,75.0,OpenCV,21.61,19.0,34.51,4940.0,14169.1,186.82
M-0deg,M_cardboard_box,004,75.0,DA-V2,21.61,19.0,0.15,4940.0,61.6,-98.75
M-0deg,M_cardboard_box,004,75.0,DA-V2 GT,21.61,19.0,0.96,4940.0,394.2,-92.02
M-0deg,M_cardboard_box,004,75.0,Foundation,21.61,19.0,2.20,4940.0,903.3,-81.72
M-0deg,M_cardboard_box,005,100.0,DA-V2,21.19,19.0,2.43,4940.0,978.2,-80.20
M-0deg,M_cardboard_box,005,100.0,DA-V2 GT,21.19,19.0,2.41,4940.0,970.1,-80.36
M-0deg,M_cardboard_box,005,100.0,Foundation,21.19,19.0,4.80,4940.0,1932.2,-60.89
M-30deg,M_cardboardbox_30,000,20.0,OpenCV,16.56,19.0,15.89,4940.0,4999.8,1.21
M-30deg,M_cardboardbox_30,000,20.0,DA-V2 GT,16.56,19.0,4.09,4940.0,1286.9,-73.95
M-30deg,M_cardboardbox_30,000,20.0,Foundation,16.56,19.0,1.45,4940.0,456.2,-90.76
M-30deg,M_cardboardbox_30,001,25.0,OpenCV,18.35,19.0,61.90,4940.0,21580.1,336.84
M-30deg,M_cardboardbox_30,001,25.0,DA-V2,18.35,19.0,0.67,4940.0,233.6,-95.27
M-30deg,M_cardboardbox_30,001,25.0,DA-V2 GT,18.35,19.0,0.52,4940.0,181.3,-96.33
M-30deg,M_cardboardbox_30,001,25.0,Foundation,18.35,19.0,1.86,4940.0,648.4,-86.87
M-30deg,M_cardboardbox_30,002,50.0,DA-V2,23.94,19.0,1.82,4940.0,828.0,-83.24
M-30deg,M_cardboardbox_30,002,50.0,DA-V2 GT,23.94,19.0,0.13,4940.0,59.1,-98.80
M-30deg,M_cardboardbox_30,002,50.0,Foundation,23.94,19.0,1.56,4940.0,709.7,-85.63
M-30deg,M_cardboardbox_30,003,75.0,OpenCV,22.75,19.0,0.85,4940.0,367.4,-92.56
M-30deg,M_cardboardbox_30,003,75.0,DA-V2 GT,22.75,19.0,0.02,4940.0,8.6,-99.83
M-30deg,M_cardboardbox_30,003,75.0,Foundation,22.75,19.0,0.83,4940.0,358.7,-92.74
M-30deg,M_cardboardbox_30,004,100.0,OpenCV,23.16,19.0,95.95,4940.0,42213.6,754.53
M-30deg,M_cardboardbox_30,004,100.0,DA-V2,23.16,19.0,2.95,4940.0,1297.9,-73.73
M-30deg,M_cardboardbox_30,004,100.0,DA-V2 GT,23.16,19.0,0.02,4940.0,8.8,-99.82
M-30deg,M_cardboardbox_30,004,100.0,Foundation,23.16,19.0,2.23,4940.0,981.1,-80.14
S-0deg,S_cardboard_box,000,20.0,OpenCV,2.98,7.0,3.59,294.0,75.0,-74.49
S-0deg,S_cardboard_box,000,20.0,Foundation,2.98,7.0,0.90,294.0,18.8,-93.60
S-0deg,S_cardboard_box,002,25.0,OpenCV,4.67,7.0,12.44,294.0,406.3,38.21
S-0deg,S_cardboard_box,002,25.0,DA-V2 GT,4.67,7.0,0.23,294.0,7.5,-97.44
S-0deg,S_cardboard_box,002,25.0,Foundation,4.67,7.0,0.97,294.0,31.7,-89.22
S-0deg,S_cardboard_box,003,50.0,OpenCV,5.03,7.0,3.85,294.0,135.5,-53.90
S-0deg,S_cardboard_box,003,50.0,DA-V2,5.03,7.0,0.05,294.0,1.8,-99.40
S-0deg,S_cardboard_box,003,50.0,DA-V2 GT,5.03,7.0,1.06,294.0,37.3,-87.31
S-0deg,S_cardboard_box,003,50.0,Foundation,5.03,7.0,1.97,294.0,69.3,-76.41
S-0deg,S_cardboard_box,004,75.0,OpenCV,4.98,7.0,0.05,294.0,1.7,-99.41
S-0deg,S_cardboard_box,004,75.0,DA-V2,4.98,7.0,1.75,294.0,61.1,-79.23
S-0deg,S_cardboard_box,004,75.0,DA-V2 GT,4.98,7.0,0.02,294.0,0.7,-99.76
S-0deg,S_cardboard_box,004,75.0,Foundation,4.98,7.0,4.98,294.0,173.7,-40.90
S-30deg,S_cardboard_box_30,000,20.0,OpenCV,2.76,7.0,31.23,294.0,603.2,105.16
S-30deg,S_cardboard_box_30,000,20.0,DA-V2,2.76,7.0,2.90,294.0,56.0,-80.95
S-30deg,S_cardboard_box_30,000,20.0,Foundation,2.76,7.0,0.07,294.0,1.4,-99.54
S-30deg,S_cardboard_box_30,001,25.0,OpenCV,3.12,7.0,30.25,294.0,660.2,124.57
S-30deg,S_cardboard_box_30,001,25.0,DA-V2,3.12,7.0,0.01,294.0,0.2,-99.93
S-30deg,S_cardboard_box_30,001,25.0,Foundation,3.12,7.0,1.03,294.0,22.5,-92.35
S-30deg,S_cardboard_box_30,002,50.0,DA-V2,5.06,7.0,1.48,294.0,52.4,-82.17
S-30deg,S_cardboard_box_30,002,50.0,Foundation,5.06,7.0,1.99,294.0,70.5,-76.02
S-30deg,S_cardboard_box_30,003,75.0,DA-V2,5.53,7.0,1.47,294.0,56.9,-80.65
S-30deg,S_cardboard_box_30,003,75.0,DA-V2 GT,5.53,7.0,0.07,294.0,2.7,-99.08
S-30deg,S_cardboard_box_30,003,75.0,Foundation,5.53,7.0,3.99,294.0,154.4,-47.47
S-30deg,S_cardboard_box_30,004,100.0,OpenCV,4.04,7.0,0.09,294.0,2.5,-99.14
S-30deg,S_cardboard_box_30,004,100.0,DA-V2,4.04,7.0,8.32,294.0,235.0,-20.06
S-30deg,S_cardboard_box_30,004,100.0,Foundation,4.04,7.0,5.07,294.0,143.2,-51.29
